Year,GSub,SJQ,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u,PRK,S,H
2003,17,ZY,4.894,342.158,0,20.9145,0,0.179684562,337.556,11.4185,0.063547474
2003,18,ZY,4.3655,340.838,0,25.477,0,0.121130919,366.801,47.0745,0.388624972
2003,21,ZY,5.2775,344.375,0,26.8275,0,0.119070526,271.118,-51.707,-0.434255241
2003,3,ZY,5.157666667,363.7616667,0,63.1815,0,0.133045631,200.2876,-105.4502334,-0.792586969
2003,4,ZY,7.27475,590.02625,0,5.694,0,0.127988212,398.197,-193.41,-1.511154793
2003,5,ZY,4.444666667,364.0666667,0,39.055,0,0.1625366,192.59562,-136.8607134,-0.842030123
2003,6,ZY,10.1205,429.847,0,7.6285,0,0.160806351,381.363,-50.976,-0.317002405
2003,8,ZY,3.887333333,327.602,0,23.068,0,0.149415561,184.0072,-124.4141333,-0.832671862
2003,9,ZY,3.326666667,325.08,0,37.4855,0,0.082977289,261.9449,-28.97626667,-0.349207199
2004,10,ZY,2.443,327.6403333,0,3.212,0,0.138979427,159.94,-166.9313333,-1.201122619
2004,13,ZY,9.404333333,340.4836667,0,27.2655,0,0.125555889,173.8,-148.8225,-1.185308799
2004,15,ZY,3.579666667,332.2146667,0,14.8555,0,0.159915372,152.496,-168.4428334,-1.053324838
2004,17,ZY,3.382,342.1515,0,20.9145,0,0.179684562,22.55969766,-302.0593023,-1.681053169
2004,18,ZY,3.928,340.7595,0,25.477,0,0.121130919,79.2262,-239.9843,-1.981197716
2004,21,ZY,3.4075,334.076,0,26.8275,0,0.119070526,35.3184779,-275.3375221,-2.312390239
2004,3,ZY,5.014333333,325.7686667,0,63.1815,0,0.133045631,105.456,-162.1455,-1.218720967
2004,4,ZY,4.63025,418.2615,0,5.694,0,0.127988212,210.026,-207.17175,-1.618678367
2004,5,ZY,5.196666667,326.0876667,0,39.055,0,0.1625366,127.585,-164.6443334,-1.012967746
2004,6,ZY,9.8925,429.834,0,7.6285,0,0.160806351,223.285,-208.813,-1.298537021
2004,8,ZY,5.307,327.6046667,0,23.068,0,0.149415561,131.96,-177.8836667,-1.190529725
2004,9,ZY,5.362,325.0763333,0,37.4855,0,0.082977289,139.43,-153.5228333,-1.850178948
2005,10,ZY,1.273666667,320.6176667,0,3.212,0,0.138979427,15.6748,-303.0045334,-2.180211416
2005,13,ZY,4.566666667,340.315,0,27.2655,0,0.125555889,65.9504,-251.6657667,-2.004412287
2005,15,ZY,1.448666667,381.2493333,0,14.8555,0,0.159915372,157.949325,-209.893175,-1.312526572
2005,17,ZY,1.7425,342.151,0,20.9145,0,0.179684562,131.0369,-191.9421,-1.068216979
2005,18,ZY,1.729,340.748,0,25.477,0,0.121130919,155.23458,-161.76542,-1.335459364
2005,21,ZY,2.4125,383.347,0,26.8275,0,0.119070526,128.987,-229.945,-1.931166408
2005,3,ZY,3.272333333,318.767,0,63.1815,0,0.133045631,67.278,-191.5798333,-1.43995584
2005,4,ZY,6.9685,473.09825,0,5.694,0,0.127988212,343,-131.37275,-1.026444138
2005,5,ZY,2.800666667,326.1456667,0,39.055,0,0.1625366,12.881,-277.0103334,-1.704295115
2005,6,ZY,9.672,418.8175,0,7.6285,0,0.160806351,193.549,-227.312,-1.41357601
2005,8,ZY,2.504666667,320.6246667,0,23.068,0,0.149415561,0.482,-299.5793334,-2.005007587
2005,9,ZY,2.849666667,325.1056667,0,37.4855,0,0.082977289,30.7367,-259.7331334,-3.130171358
2006,10,ZY,1.382666667,374.917,0,3.212,0,0.138979427,168.1687,-204.9189667,-1.4744554
