Year,SJQ,GSub,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u
2007,ZY,3,2.991666667,325.802,0,63.1815,0,0.133045631
2007,ZY,4,3.72775,429.10425,0,5.694,0,0.127988212
2007,ZY,5,2.984,326.2346667,0,39.055,0,0.1625366
2007,ZY,6,6.0215,489.7275,0,7.6285,0,0.160806351
2007,ZY,8,1.921,365.8823333,0,23.068,0,0.149415561
2007,ZY,9,2.348,325.1443333,0,37.4855,0,0.082977289
2007,ZY,10,1.627666667,327.706,0,3.212,0,0.138979427
2007,ZY,13,3.754,461.5236667,0,27.2655,0,0.125555889
2007,ZY,15,2.250333333,342.2106667,0,14.8555,0,0.159915372
2007,ZY,17,2.1605,342.1475,0,20.9145,0,0.179684562
2007,ZY,18,2.3545,340.714,0,25.477,0,0.121130919
2007,ZY,21,2.5115,343.949,0,26.8275,0,0.119070526
2008,ZY,3,5.975333333,318.7953333,0,63.1815,0,0.133045631
2008,ZY,4,5.54325,418.06525,0,5.694,0,0.127988212
2008,ZY,5,6.489333333,326.2886667,0,39.055,0,0.1625366
2008,ZY,6,11.1815,429.725,0,7.6285,0,0.160806351
2008,ZY,8,2.907,327.687,0,23.068,0,0.149415561
2008,ZY,9,2.660666667,325.1353333,0,37.4855,0,0.082977289
2008,ZY,10,2.605,327.718,0,3.212,0,0.138979427
2008,ZY,13,2.453666667,368.9836667,0,27.2655,0,0.125555889
2008,ZY,15,2.096666667,342.2046667,0,14.8555,0,0.159915372
2008,ZY,17,3.6,342.1455,0,20.9145,0,0.179684562
2008,ZY,18,3.5795,340.682,0,25.477,0,0.121130919
2008,ZY,21,4.789,343.7795,0,26.8275,0,0.119070526
2009,ZY,3,4.66,372.72,0,63.1815,0,0.133045631
2009,ZY,4,5.0075,483.84525,0,5.694,0,0.127988212
2009,ZY,5,4.873333333,326.3703333,0,39.055,0,0.1625366
2009,ZY,6,10.52,429.7165,0,7.6285,0,0.160806351
2009,ZY,8,3.415333333,327.7,0,23.068,0,0.149415561
2009,ZY,9,3.293,325.1296667,0,37.4855,0,0.082977289
2009,ZY,10,4.294,327.7286667,0,3.212,0,0.138979427
2009,ZY,13,3.496666667,340.108,0,27.2655,0,0.125555889
2009,ZY,15,4.118333333,342.203,0,14.8555,0,0.159915372
